,time,band,spatial_ref,Gamma0VV
0,2016-11-21,1,0,0.059938427
1,2017-01-08,2,0,0.055383816
2,2017-02-01,4,0,0.058425162
3,2017-02-07,5,0,0.05611861
4,2017-02-25,8,0,0.06643975
5,2017-03-09,10,0,0.068087965
6,2017-03-21,12,0,0.021922523
7,2017-04-02,13,0,0.03281781
8,2017-04-26,14,0,0.034740843
9,2017-05-08,16,0,0.054245688
10,2017-05-20,18,0,0.06477058
11,2017-06-01,20,0,0.11539305
12,2017-06-13,22,0,0.08897012
13,2017-06-25,23,0,0.073301636
14,2017-07-07,25,0,0.07166972
15,2017-07-31,28,0,0.07375583
16,2017-08-12,30,0,0.06880073
17,2017-08-24,32,0,0.06473353
18,2017-09-05,34,0,0.062208492
19,2017-09-17,36,0,0.080487914
20,2017-09-29,38,0,0.15162086
21,2017-10-11,40,0,0.09207003
22,2017-10-23,42,0,0.07547431
23,2017-11-04,44,0,0.06013724
24,2017-11-28,47,0,0.06284905
25,2017-12-10,49,0,0.038762804
26,2017-12-22,51,0,0.03446209
27,2018-01-03,53,0,0.034988537
28,2018-01-15,55,0,0.040947117
29,2018-01-27,57,0,0.040573616
30,2018-02-08,58,0,0.04360164
31,2018-02-20,59,0,0.046655294
32,2018-03-04,60,0,0.055029016
33,2018-04-09,63,0,0.0272308
34,2018-04-21,65,0,0.09923299
35,2018-05-03,67,0,0.054822862
36,2018-05-15,68,0,0.11173318
37,2018-05-27,70,0,0.092886984
38,2018-06-08,72,0,0.07479073
39,2018-06-20,73,0,0.066150926
40,2018-07-02,75,0,0.065874115
41,2018-07-14,77,0,0.060355958
42,2018-07-26,79,0,0.060594674
43,2018-08-07,81,0,0.05947127
44,2018-08-19,83,0,0.061182313
45,2018-08-31,85,0,0.061341222
46,2018-09-12,87,0,0.055705566
47,2018-09-24,89,0,0.053251006
48,2018-10-06,91,0,0.10300882
49,2018-10-18,93,0,0.069700316
50,2018-10-30,95,0,0.0568579
51,2018-11-11,96,0,0.07202473
52,2018-11-23,97,0,0.063298374
53,2018-12-05,98,0,0.061445728
54,2018-12-17,99,0,0.06051203
55,2019-01-10,100,0,0.061488215
56,2019-01-22,101,0,0.058017496
57,2019-02-03,102,0,0.061272644
58,2019-02-15,103,0,0.059563097
59,2019-02-27,104,0,0.061639965
60,2019-03-11,105,0,0.05778721
61,2019-03-23,106,0,0.05709395
62,2019-04-04,107,0,0.044281017
63,2019-04-16,108,0,0.030677423
64,2019-04-28,109,0,0.016649516
65,2019-05-10,110,0,0.016608983
66,2019-05-22,112,0,0.014332744
67,2019-06-03,114,0,0.02505665
68,2019-06-15,116,0,0.11131495
69,2019-06-27,118,0,0.12353491
70,2019-07-09,120,0,0.101015255
71,2019-07-21,122,0,0.0745748
72,2019-08-02,124,0,0.07039874
73,2019-08-14,126,0,0.06424835
74,2019-08-26,128,0,0.065346345
75,2019-09-07,130,0,0.05844773
76,2019-09-19,132,0,0.052749023
77,2019-10-01,134,0,0.05061625
78,2019-10-13,136,0,0.039044604
79,2019-10-25,138,0,0.042007677
80,2019-11-06,140,0,0.057812423
81,2019-11-18,142,0,0.04074069
82,2019-11-30,144,0,0.049541395
83,2019-12-12,146,0,0.047270678
84,2019-12-24,148,0,0.04501021
85,2020-01-05,150,0,0.044884067
86,2020-01-17,152,0,0.04749873
87,2020-01-29,154,0,0.04389718
88,2020-02-10,155,0,0.045044757
89,2020-02-22,156,0,0.04492713
90,2020-03-05,158,0,0.044437166
91,2020-03-17,160,0,0.047428027
92,2020-03-29,161,0,0.04806369
93,2020-04-10,163,0,0.029604027
94,2020-04-22,165,0,0.018266497
95,2020-05-04,167,0,0.02966933
96,2020-05-16,169,0,0.10795872
97,2020-05-28,171,0,0.09784008
98,2020-06-09,172,0,0.08360611
99,2020-06-21,174,0,0.07538254
100,2020-07-15,177,0,0.06641223
101,2020-07-27,179,0,0.07084338
102,2020-08-08,181,0,0.06352207
103,2020-08-20,183,0,0.060499653
104,2020-08-31,185,0,0.049773335
105,2020-09-01,186,0,0.05522698
106,2020-09-12,189,0,0.059588306
107,2020-09-13,190,0,0.07686999
108,2020-09-24,193,0,0.045932688
109,2020-09-25,194,0,0.053799648
110,2020-10-06,197,0,0.041573595
111,2020-10-07,198,0,0.0489821
112,2020-10-18,201,0,0.046566617
